2026-04-28 11:29:33, MOVE, v:1, k:ed@lista_d1, mode:DOWN
2026-04-28 11:29:36, MOVE, v:1, k:ed@lista_d2, mode:DOWN
2026-04-28 11:29:37, MOVE, v:1, k:ed@lista_d4, mode:DOWN
2026-04-28 11:29:39, MOVE, v:1, k:ed@prin_list1, mode:DOWN
2026-04-28 11:29:42, MOVE, v:1, k:ed@lista_d1, mode:PICK
2026-04-28 11:29:43, EXEC, v:1, k:ed@lista_d1, mode:FULL, rate:0, size:57
2026-04-28 11:29:33, MOVE, v:1, k:ed@lista_d1, mode:EDIT
2026-04-28 11:29:33, MOVE, v:1, k:ed@lista_d1, mode:EDIT
2026-04-28 11:29:33, MOVE, v:1, k:ed@lista_d1, mode:EDIT
2026-04-28 11:34:03, MOVE, v:1, k:ed@lista_d1, mode:EDIT
2026-04-28 11:29:36, MOVE, v:1, k:ed@lista_d2, mode:EDIT
2026-04-28 11:29:36, MOVE, v:1, k:ed@lista_d2, mode:EDIT
2026-04-28 11:29:36, MOVE, v:1, k:ed@lista_d2, mode:EDIT
2026-04-28 11:29:36, MOVE, v:1, k:ed@lista_d2, mode:EDIT
2026-04-28 11:29:37, MOVE, v:1, k:ed@lista_d4, mode:EDIT
2026-04-28 11:29:37, MOVE, v:1, k:ed@lista_d4, mode:EDIT
2026-04-28 11:29:37, MOVE, v:1, k:ed@lista_d4, mode:EDIT
2026-04-28 11:29:37, MOVE, v:1, k:ed@lista_d4, mode:EDIT
2026-04-28 11:29:39, MOVE, v:1, k:ed@prin_list1, mode:EDIT
2026-04-28 11:29:39, MOVE, v:1, k:ed@prin_list1, mode:EDIT
2026-04-28 11:29:39, MOVE, v:1, k:ed@prin_list1, mode:EDIT
2026-04-28 11:36:55, MOVE, v:1, k:ed@lista_d1, mode:EDIT
2026-04-28 11:40:41, MOVE, v:1, k:ed@lista_d1, mode:BACK
